gene	pwy	trn	transport	enzyme	BP_GO	Y-ome
EG10112	0	1	1	0	1	0
G6379	0	0	0	0	1	0
G6456	0	1	0	0	0	0
EG10109	1	1	0	1	1	0
G6210	0	0	0	0	0	1
EG11298	0	0	0	1	1	0
EG10110	1	1	0	1	1	0
EG11002	1	0	0	1	1	0
G7145	0	1	0	1	1	0
EG10585	1	1	0	1	1	0
G6326	0	1	0	0	1	0
G0-10645	0	1	0	0	0	0
EG10626	0	0	0	1	1	0
EG10995	0	0	0	1	1	0
EG12859	0	0	0	0	1	0
EG11417	1	1	0	1	1	0
G7901	0	1	0	0	1	1
EG12336	0	0	0	0	0	1
EG10961	1	1	0	1	1	0
G6791	0	1	0	0	1	1
EG12159	1	0	0	1	0	0
EG12882	1	0	0	1	1	0
EG12633	1	1	0	1	1	0
EG11941	0	1	0	0	0	1
EG10962	1	0	0	1	1	0
EG12293	1	0	0	1	0	0
EG11825	0	0	0	0	1	1
EG10959	1	1	0	1	1	0
G7740	0	1	0	1	1	0
EG11604	0	0	0	0	1	1
G6842	0	1	0	1	1	0
G6717	0	1	0	1	1	0
EG11445	0	1	0	1	0	0
EG10963	1	0	0	1	1	0
EG11905	0	0	0	1	1	0
G7887	0	1	0	0	0	1
EG10960	1	1	0	1	1	0
G7636	0	1	0	0	1	1
EG11214	0	0	0	0	0	1
G6647	0	1	0	1	1	0
G7454	0	0	0	1	1	0
G7825	0	0	0	0	0	1
G7676	1	1	0	1	1	0
EG11728	0	0	0	0	1	1
EG11139	0	0	0	0	0	1
G7677	1	1	0	1	1	1
G7408	0	0	0	1	0	0
G7681	0	0	0	0	0	1
G6539	0	0	0	1	0	0
G436	0	1	1	0	1	0
EG10849	0	1	0	0	1	1
EG11438	0	0	0	1	1	0
EG10636	0	1	0	0	1	0
G7568	0	0	0	0	0	1
EG10632	1	1	0	1	1	0
G7158	0	0	0	1	1	0
G7451	0	0	0	0	1	0
G6428	0	0	0	1	1	0
G7630	0	1	0	0	1	0
G7317	0	0	0	0	1	1
EG10637	1	1	0	1	1	0
EG11241	0	1	0	0	0	1
G7169	1	1	0	1	1	1
EG10633	1	1	0	1	1	0
G6810	1	0	0	1	1	0
G6997	0	0	0	0	0	1
EG11428	0	1	0	1	1	0
EG12702	0	1	0	0	0	1
G6897	0	1	0	0	0	1
G7093	0	0	0	0	1	1
EG12298	0	1	0	0	1	1
G6760	1	1	0	1	0	0
EG12373	1	1	0	1	0	0
G7868	0	0	0	1	0	0
G6568	0	0	0	0	0	1
EG11060	1	0	0	1	1	0
G6727	0	1	0	0	1	1
G6454	0	0	0	0	0	1
EG12069	1	1	0	1	1	0
G7516	1	1	0	1	1	0
G6330	0	0	0	0	1	1
G7717	0	0	0	0	1	1
EG12285	1	1	0	1	1	0
G6186	0	0	0	0	0	1
G6654	0	1	0	1	1	0
G7234	0	1	0	1	0	0
EG11761	0	0	0	1	1	0
EG11444	1	1	0	1	1	0
G7490	0	0	0	1	0	0
G6806	0	1	0	1	1	0
G0-10593	0	0	0	0	0	1
G6556	0	0	0	1	1	0
EG10745	1	0	1	0	1	0
EG12843	0	1	0	0	0	1
EG11568	0	0	0	1	1	0
G7928	0	0	0	0	1	0
EG12309	0	0	0	0	1	1
G7160	0	0	0	1	1	0
G6342	1	1	0	1	1	0
EG12106	0	1	0	0	0	1
G6437	0	0	0	1	0	0
EG10456	0	1	0	1	1	0
EG11936	0	1	0	0	0	1
G7860	1	1	0	1	1	0
EG11775	0	1	0	0	1	1
G7517	1	1	0	1	1	0
EG11571	0	0	0	0	1	1
EG12319	0	1	0	1	1	0
EG11400	0	1	0	0	0	1
G7419	0	0	0	0	1	1
G7853	0	1	0	1	1	0
G6890	0	1	0	1	1	0
EG11195	1	0	0	1	0	0
EG11032	1	1	0	1	1	0
G7756	0	1	0	1	0	0
G7932	0	0	0	0	1	1
EG11133	0	0	0	0	1	1
EG10628	0	1	0	0	1	0
G7657	0	1	0	0	1	0
G7911	0	1	0	1	1	1
EG10780	1	1	0	1	0	0
G6277	0	1	0	1	1	0
G7550	0	1	0	0	1	1
G7553	0	0	0	1	1	0
G7436	0	0	0	0	1	1
EG12361	0	0	0	1	1	0
G7296	0	0	0	0	0	0
G7493	0	0	0	0	1	1
G7148	0	0	0	0	0	1
EG11844	0	0	0	0	1	1
G6993	0	0	0	0	1	1
G7195	1	0	0	1	1	0
G6888	0	0	0	0	0	1
EG11421	0	1	0	0	1	0
G6742	0	1	0	0	0	1
G6661	1	1	0	1	1	0
G6542	0	1	0	0	0	1
EG10744	1	1	1	0	1	0
G6433	0	0	0	0	0	1
G7914	0	1	0	0	1	1
G6292	0	0	0	0	1	1
G6341	1	1	0	1	1	0
G6126	0	0	0	0	0	1
EG10425	0	0	0	1	1	0
G7859	1	1	0	1	1	0
EG50005	0	1	0	1	1	0
G0-10471	0	0	0	0	0	1
G6852	0	1	0	0	1	0
EG12705	0	0	0	0	1	1
EG11381	0	1	0	0	1	1
EG12280	0	1	0	0	1	1
EG10378	1	1	0	1	1	0
EG12043	0	0	0	0	0	1
EG10379	1	1	0	1	1	0
EG11922	0	0	0	0	0	1
G6215	0	0	0	0	1	1
EG11735	0	0	0	1	1	0
EG10377	1	1	0	1	1	0
EG11540	0	1	0	1	1	0
G6892	0	1	0	0	1	0
EG11345	0	1	0	0	1	0
EG11494	0	0	0	1	1	0
G7846	0	0	0	0	0	1
EG10605	1	0	0	1	1	0
EG11187	0	0	0	0	1	1
G6565	0	0	0	0	1	0
G7733	0	0	0	0	0	1
EG11253	1	1	0	1	1	0
EG11122	0	0	0	0	0	1
EG10544	0	1	0	0	1	0
G7639	0	0	0	0	1	1
EG10214	1	1	0	1	1	0
EG10307	0	0	0	0	1	1
G7642	0	0	0	0	1	0
G7524	0	0	0	0	0	1
G6422	0	1	0	0	1	0
G7432	0	0	0	0	0	1
EG10202	1	0	0	1	1	0
G7260	0	1	0	0	0	1
G7147	1	0	0	1	1	0
G7068	0	0	0	0	1	1
EG12015	0	0	0	0	1	0
G6988	0	0	0	1	1	0
EG10621	1	1	0	1	1	0
G6870	0	0	0	0	0	1
EG10013	0	0	0	0	1	0
G6672	0	0	0	0	1	1
G6904	1	0	0	1	1	0
G6507	0	0	0	0	0	1
EG10606	1	1	0	1	1	0
G6423	0	1	0	0	0	1
G6571	0	1	0	0	1	0
G6269	0	0	0	1	1	0
EG11358	1	0	0	1	1	0
G6098	0	1	0	0	0	1
EG10580	0	0	0	0	1	0
EG11204	1	1	0	1	1	0
EG10341	1	1	0	1	1	0
G0-10443	0	0	0	0	0	1
G7668	1	0	0	1	1	0
EG12410	0	0	0	1	1	0
G6439	1	1	0	1	1	0
EG12263	0	0	0	0	1	0
EG10748	1	0	0	1	1	0
EG12005	0	1	0	0	0	1
EG10203	1	1	0	1	1	0
EG11894	0	0	0	0	0	1
G7322	1	0	0	1	1	0
EG11719	0	0	0	0	0	1
EG12166	0	0	0	0	1	1
EG11522	0	0	0	0	0	1
EG10622	1	1	0	1	1	0
EG11293	0	0	0	0	1	0
EG10040	0	1	0	1	1	0
EG11174	0	0	0	0	1	1
G6968	0	1	0	0	1	0
G7728	0	0	0	0	1	1
EG11823	0	1	0	1	1	0
EG11110	0	1	0	0	1	0
EG10619	1	1	0	1	1	0
G7615	0	1	0	0	0	1
EG11363	0	1	0	1	1	0
EG10083	0	1	0	0	0	1
EG10604	1	1	0	1	1	0
G7498	0	0	0	0	1	1
EG11205	1	0	0	1	1	0
G7400	0	1	0	0	0	1
G6474	0	0	0	0	1	1
G7214	0	1	0	0	0	1
EG10213	1	1	0	1	1	0
G7048	0	0	0	0	1	1
G7458	0	1	0	1	1	0
G6980	0	0	0	1	1	0
G6092	1	0	0	1	1	0
EG12028	0	0	0	0	1	1
EG10623	1	1	0	1	1	0
EG11770	0	0	0	0	0	0
EG10201	1	0	0	1	1	0
G7890	0	0	0	0	0	1
G7073	0	0	0	0	1	0
EG11520	0	0	0	0	0	1
EG11893	1	0	0	1	1	0
G7718	0	0	0	0	1	1
EG10620	1	1	0	1	1	0
G7566	0	1	0	0	0	1
EG11885	0	0	0	0	1	0
G7483	0	0	0	0	1	0
G6552	0	0	0	0	1	0
G7407	0	0	0	0	1	1
G7800	1	1	0	1	1	0
G7215	0	0	0	0	0	1
EG11458	1	1	0	1	1	0
G7075	0	0	0	0	0	0
EG11451	1	1	0	1	1	0
G6960	0	0	0	0	1	1
EG10840	1	1	0	1	1	0
G6883	0	0	0	0	0	1
EG11456	1	1	0	1	1	0
G6736	0	1	0	0	0	1
EG11452	1	1	0	1	1	0
G6607	0	1	0	0	1	1
EG11457	0	1	0	0	1	0
G6446	0	0	0	0	0	1
EG11295	0	1	0	0	1	0
G6184	0	0	0	0	0	1
G7241	1	0	0	1	1	0
G0-8900	0	0	0	0	0	1
G7167	1	1	0	1	1	0
EG12180	0	1	0	1	1	0
EG11147	0	1	0	0	0	1
EG10546	1	0	0	1	1	0
EG10464	1	1	0	1	1	0
G7168	1	1	0	1	1	0
EG12666	1	1	0	1	1	0
G0-10616	0	0	0	0	0	1
EG10614	1	0	0	1	1	0
G0-10512	0	1	0	0	0	1
EG10265	1	1	0	1	1	0
EG12689	0	0	0	0	1	1
G7170	1	1	0	1	1	0
EG12271	0	1	0	0	0	1
G7166	1	1	0	1	1	0
EG12004	0	0	0	0	0	1
EG10545	1	1	0	1	1	0
EG11760	0	0	0	0	0	1
EG10316	1	1	0	1	1	0
G7880	0	1	0	0	1	0
G7590	1	0	0	1	1	0
EG11462	0	0	0	0	0	1
