gene	pwy	trn	transport	enzyme	BP_GO	Y-ome
G7827	1	1	0	1	1	0
EG12095	0	1	0	0	1	0
G7203	0	1	0	0	0	1
G6427	0	1	0	0	0	1
EG10939	0	0	0	0	1	0
G6928	0	1	0	0	0	1
EG12067	1	1	0	1	1	0
EG10936	0	0	0	0	1	0
G6498	0	1	0	0	0	1
EG11858	1	1	0	0	1	0
EG10940	0	0	0	0	1	0
G0-10583	0	0	0	0	1	1
EG11532	1	0	0	1	1	0
EG10937	0	1	0	0	1	0
EG12025	0	0	0	0	1	1
EG10644	1	0	0	1	1	0
EG12236	0	1	1	0	1	0
EG11659	0	0	0	0	0	1
G7907	0	0	0	0	0	0
G7308	0	1	0	0	1	0
G6421	0	0	0	0	1	1
G7719	0	0	0	0	0	1
EG12362	1	0	0	1	1	0
EG10513	0	1	1	0	1	0
G7156	0	0	0	0	0	1
EG12061	1	1	0	1	1	0
EG12525	0	1	1	0	1	0
G6844	0	1	0	0	0	1
G6692	0	0	0	0	0	0
EG11815	1	1	0	1	1	0
EG10514	0	1	1	0	1	0
G6424	0	1	0	0	0	1
EG11460	1	1	0	0	1	0
G0-10439	0	1	1	0	1	0
EG12857	0	0	0	0	0	1
EG10640	1	1	0	1	1	0
EG10515	0	1	1	0	1	0
EG11931	0	0	0	0	0	1
EG10393	1	1	0	1	1	0
G7665	0	0	1	0	1	0
EG11537	0	0	0	0	0	1
G7304	0	1	0	0	1	0
G7039	0	1	1	0	1	0
G7614	0	0	0	0	0	1
EG11950	0	1	0	0	1	1
G6803	0	1	1	0	1	0
G7025	0	0	0	0	0	1
EG11804	0	1	0	0	1	0
EG12075	0	1	1	0	1	0
G6809	0	0	0	0	0	1
EG11229	1	1	0	0	1	0
G6665	0	1	1	0	1	0
G6354	0	1	0	0	0	1
EG10579	1	0	0	1	1	0
G6430	0	0	1	0	1	0
EG12448	0	0	0	0	0	1
G7934	0	0	0	0	0	0
G7301	0	1	0	0	1	0
EG10294	0	1	1	0	1	0
EG11876	0	1	0	0	0	1
EG11947	1	1	0	1	1	1
G7342	0	0	0	0	1	1
EG11287	0	1	0	0	0	1
EG11800	1	1	0	0	1	0
G6949	0	0	0	0	1	1
G7555	0	0	0	0	1	1
EG11150	0	1	0	0	0	0
EG12124	0	1	1	0	1	0
G7001	0	0	0	0	0	1
EG10485	0	1	0	0	1	0
EG12012	0	0	1	0	1	0
G6668	0	1	0	0	0	1
G7022	0	0	0	0	1	0
EG10305	0	1	1	0	1	0
G6331	0	1	0	0	1	1
EG11911	0	0	0	0	1	1
G7570	0	0	0	0	1	0
EG12421	0	1	0	0	1	1
EG10648	1	0	0	1	1	0
EG12517	0	1	1	0	1	0
EG11793	0	0	0	0	0	1
EG10234	1	1	0	1	1	0
EG10773	0	1	1	0	1	0
EG11136	0	0	0	0	0	1
G6514	1	0	0	0	1	0
G7017	0	1	1	0	1	0
G7357	0	0	0	0	0	1
EG12068	0	1	0	0	1	1
EG12334	0	0	1	0	1	0
G6978	0	0	0	0	0	1
EG11859	0	1	0	0	1	0
EG10714	0	1	1	0	1	0
G6624	0	0	0	0	0	1
EG11551	0	1	0	1	1	0
G6781	0	1	0	0	1	1
G6194	0	0	0	0	1	1
EG10645	0	0	0	0	1	1
EG12037	0	0	1	0	1	1
EG12225	0	1	0	0	1	1
G7904	0	0	0	0	0	0
EG10028	0	0	0	0	1	0
EG10554	0	1	1	0	1	0
EG11696	0	0	0	0	1	1
G7554	1	1	0	0	1	0
G6648	0	1	0	0	1	1
G7870	0	0	0	0	0	1
EG12437	1	0	0	1	1	0
EG11504	0	1	1	0	1	0
G7261	0	1	0	0	0	1
EG12062	1	1	0	1	0	0
EG10287	0	1	1	0	1	0
G6929	0	0	0	0	1	1
EG11856	1	0	0	0	1	0
EG10676	0	1	1	0	1	0
G6549	0	0	0	0	1	1
EG10641	0	1	0	0	1	0
G6573	0	1	0	0	1	0
EG10400	0	1	0	0	0	0
EG12626	0	1	1	0	1	0
EG12119	0	0	0	0	0	1
G6130	0	0	0	0	0	0
G7305	0	1	0	0	1	0
EG12439	0	1	1	0	1	1
EG11660	0	0	0	0	0	1
EG11805	0	1	0	0	1	0
G7664	0	0	1	0	1	0
G7746	0	0	0	0	1	1
EG11282	0	1	0	0	1	0
G6410	0	1	1	0	1	0
G7180	0	1	0	0	0	1
EG10638	1	1	0	1	1	0
G6950	0	0	0	0	1	1
G6860	0	1	0	0	0	1
EG10391	1	1	0	1	1	0
EG12076	0	1	1	0	1	0
G6469	0	0	0	0	0	1
G7302	0	1	0	0	1	0
EG10298	0	1	1	0	1	0
EG12865	0	0	0	0	0	1
EG11948	0	1	0	0	1	1
G6780	0	1	0	0	1	1
EG11991	0	1	0	0	0	1
EG11801	1	1	0	0	1	0
EG12835	0	1	0	0	1	1
EG11607	0	0	0	0	0	1
EG11227	1	1	0	0	1	0
EG12040	0	0	1	0	1	1
G7643	0	0	0	0	0	1
EG10486	0	1	0	0	1	0
EG10288	0	1	1	0	1	0
G7035	0	1	0	0	0	1
G7023	0	0	0	0	1	0
G6753	0	1	0	0	1	1
G6841	0	1	0	0	0	1
EG11945	0	1	0	0	1	0
EG12009	0	0	1	0	1	0
G6371	0	1	0	0	0	1
EG11781	1	1	0	1	1	0
G6575	0	0	0	0	1	0
EG12605	0	1	0	0	0	1
EG10653	0	1	0	1	1	0
EG11737	0	1	1	0	1	0
EG11882	0	0	0	0	0	1
EG10284	0	0	0	0	1	1
EG10002	0	1	1	0	1	0
EG11323	0	0	0	0	0	1
G6515	0	1	0	0	1	0
G7889	0	0	1	0	1	0
G7577	0	1	0	0	0	1
EG11880	1	1	0	1	1	0
G6432	0	0	1	0	1	0
G7012	0	0	0	0	0	1
EG11552	0	1	0	0	1	1
EG12520	0	1	1	0	1	1
G6705	0	0	0	0	0	1
EG10646	1	1	0	0	1	0
EG12321	0	0	0	0	1	1
G6351	0	1	0	0	1	1
EG10232	1	1	0	1	1	0
G7037	0	0	1	0	1	0
EG12422	0	1	0	0	1	1
G7826	1	1	0	0	1	0
EG12077	0	1	1	0	1	0
EG11807	0	1	0	0	0	1
EG12615	1	1	0	0	1	0
EG10303	0	1	1	0	1	0
EG11142	0	0	0	0	0	1
EG12064	1	1	0	1	0	0
G6801	0	1	1	0	1	0
G0-10606	0	0	0	0	0	1
EG11857	1	0	0	0	1	0
EG12836	0	1	0	0	1	1
G0-10467	0	0	0	0	0	1
EG11527	1	0	0	0	1	0
EG10289	0	1	1	0	1	0
G0-10459	0	1	0	0	0	1
EG10643	1	1	0	0	1	0
G6754	0	1	0	0	1	1
G0-10454	0	0	0	0	0	1
G7306	0	1	0	0	1	0
EG12011	0	0	1	0	1	0
G0-10469	0	0	0	0	0	1
EG12060	1	1	0	1	1	0
G6649	0	1	0	0	1	1
G0-10462	0	0	0	0	0	1
EG11814	1	1	0	1	1	0
EG11767	0	0	0	0	1	1
G0-10455	0	0	0	0	0	1
EG11368	1	0	0	1	1	0
EG10675	0	1	1	0	1	0
G0-10450	0	0	0	0	0	1
EG10639	1	1	0	1	1	0
EG10007	0	1	1	0	1	0
G0-10475	0	0	0	0	0	1
EG10392	1	1	0	1	1	0
EG12625	0	1	1	0	1	0
G0-10466	0	0	0	0	0	1
G7303	0	1	0	0	1	0
EG12368	0	1	1	0	1	0
G0-10458	0	0	0	0	0	1
EG11949	0	1	0	0	1	1
G7340	0	0	0	0	1	1
G0-10453	0	0	0	0	0	1
EG11802	0	1	0	0	1	1
G6409	0	1	1	0	1	0
EG10608	0	1	0	0	1	0
EG11228	1	1	0	0	1	0
EG12125	0	1	1	0	1	0
G7741	0	1	0	0	1	1
EG10487	0	1	0	0	1	0
G6802	0	1	1	0	1	0
G0-10655	0	0	0	0	1	1
G7300	0	1	0	0	1	0
EG10296	0	1	1	0	1	0
G7061	0	1	0	0	1	0
EG11946	1	1	0	1	1	1
G6779	0	1	0	0	1	1
G6783	0	0	0	1	1	0
EG11784	0	1	0	0	0	0
EG12800	0	1	0	0	1	0
G6570	0	1	0	0	1	0
EG10655	0	1	0	1	1	0
EG12038	0	1	1	0	1	1
G7883	0	0	0	0	1	1
EG10483	0	1	0	0	1	0
EG10772	0	1	1	0	1	0
G0-9561	0	0	0	0	1	0
EG10325	0	1	0	0	1	0
G6650	0	1	0	0	1	1
G7314	0	1	0	1	1	0
G6775	1	0	0	1	1	0
G6462	0	0	1	0	1	0
EG12830	0	0	0	0	1	1
EG12078	0	1	1	0	1	0
EG11742	0	0	0	0	1	1
EG11877	0	1	0	0	1	1
EG10649	1	1	0	1	1	0
EG10928	0	1	1	0	1	0
EG11291	0	0	0	0	1	0
EG12332	0	1	0	0	1	0
EG12070	0	1	0	0	1	0
G6396	0	1	0	0	1	0
EG11774	1	1	1	0	1	0
EG11405	0	1	1	0	1	0
EG11100	0	0	0	0	1	1
EG10471	0	1	0	0	1	1
G6248	0	0	0	0	1	1
G6167	0	1	0	0	1	1
EG12091	1	1	1	0	1	0
EG11622	0	0	0	0	1	1
G7031	0	1	0	0	1	0
EG11473	1	0	0	1	1	0
EG10012	0	1	1	0	1	0
G6447	0	1	0	0	1	1
EG10468	1	1	0	1	1	0
G6777	0	1	0	0	1	1
EG11246	0	1	0	0	1	1
EG12088	1	1	1	0	1	0
EG12320	0	0	0	0	1	1
EG11143	1	1	0	1	1	0
EG10290	0	1	1	0	1	0
EG10231	1	1	0	1	1	0
G6574	0	0	0	0	1	0
EG12084	1	1	1	0	1	0
EG10771	0	1	1	0	1	0
EG10180	1	1	1	0	1	0
G6266	0	0	0	0	1	1
EG12079	0	1	1	0	1	0
EG10678	0	1	1	0	1	0
EG11962	0	1	0	0	1	0
EG12801	0	1	0	0	1	0
EG10472	0	1	0	0	0	1
EG10452	0	1	1	0	1	0
EG10270	0	0	0	1	1	0
EG12092	1	1	1	0	1	0
G6778	0	1	0	0	1	1
G6486	0	0	0	0	1	0
EG11476	0	0	0	0	1	1
EG12347	0	0	1	0	1	0
EG11376	0	0	0	0	1	0
EG10469	1	1	0	1	1	0
EG10295	0	1	1	0	1	0
EG12371	0	0	0	0	1	0
EG12089	1	1	1	0	1	0
G6656	0	1	0	0	0	0
EG11203	0	0	0	0	1	1
EG11324	1	0	0	1	1	0
G6411	0	1	1	0	1	0
G7680	0	0	0	0	1	0
EG10394	1	1	0	1	1	0
EG10713	0	1	1	0	1	0
EG11086	0	1	0	0	1	0
EG12086	1	1	1	0	1	0
EG12837	0	1	0	0	1	1
EG11529	0	0	0	0	1	0
EG11044	1	1	0	1	1	0
EG12010	0	0	1	0	1	0
EG10342	0	1	0	0	1	0
EG10181	1	1	1	0	1	0
G7341	0	0	0	0	1	1
G0-10261	0	0	0	0	1	1
EG12082	1	1	1	0	1	0
EG11657	0	0	0	0	0	1
EG12855	0	0	0	0	1	0
EG10178	1	1	1	0	1	0
G6800	0	1	1	0	1	0
G7864	0	1	0	0	1	1
EG11963	1	1	0	1	1	0
EG11621	0	1	1	0	1	0
EG12297	0	1	0	0	1	0
EG10473	0	1	0	0	0	1
EG10304	0	1	1	0	1	0
EG10596	0	0	0	0	1	0
EG12093	1	1	1	0	1	0
G6752	0	1	0	0	1	1
G7644	0	0	0	0	1	1
EG11773	1	1	1	0	1	0
G6429	0	0	1	0	1	0
EG10347	0	1	0	0	1	0
EG10470	1	1	0	1	1	0
EG12041	0	0	1	0	1	1
EG10618	0	1	0	0	1	0
EG12090	1	1	1	0	1	0
EG10677	0	1	1	0	1	0
EG10340	0	0	0	0	1	0
EG11370	1	1	0	1	1	0
EG11680	0	0	1	0	1	0
EG12878	0	0	0	0	1	0
EG10401	0	1	1	0	1	0
G6951	0	0	0	0	1	1
EG12313	0	0	0	0	1	0
EG12087	1	1	1	0	1	0
EG12518	0	1	1	0	1	1
EG11191	0	0	0	0	1	0
EG10182	0	1	0	1	1	0
EG10272	0	1	1	0	1	0
EG12111	0	0	0	0	1	0
EG12083	1	1	1	0	1	0
EG10271	0	1	1	0	1	0
G7424	0	0	0	0	1	0
EG10179	1	1	1	0	1	0
G7503	0	0	1	0	1	0
EG11878	0	0	0	0	1	0
G592	1	1	0	1	1	0
G7070	0	0	1	0	1	0
EG10955	0	1	0	0	1	0
G6599	0	0	0	0	0	0
EG10477	1	1	0	1	1	0
G6786	0	1	1	0	1	0
EG11662	0	0	0	0	1	1
EG11168	0	1	0	1	1	0
G6256	0	0	1	0	1	0
G6171	0	1	0	0	1	1
EG10474	0	1	0	0	0	1
EG12469	0	0	1	0	1	0
EG12209	0	0	1	0	1	0
EG10333	1	1	0	1	1	0
EG12219	0	0	0	0	1	1
G7323	0	0	0	0	1	0
EG10330	1	1	0	1	1	0
EG11953	0	0	1	0	1	0
G6615	0	1	0	0	0	0
EG10481	0	1	0	0	1	0
EG11724	0	0	1	0	1	0
G6173	0	1	0	0	1	1
G6377	0	0	0	0	1	0
EG10031	1	1	0	1	1	0
EG11555	0	0	0	0	1	1
EG10478	1	1	0	1	1	0
EG11262	0	1	0	0	1	1
G7564	1	1	0	1	1	0
EG11169	0	1	0	1	1	0
EG10267	0	1	1	0	1	0
G7398	1	1	0	1	0	0
EG10475	1	1	0	1	1	0
G6987	0	0	0	0	1	1
EG11918	0	1	0	0	1	0
EG11304	0	1	0	0	0	0
EG10701	1	1	0	1	1	0
G6643	0	1	1	0	1	0
G6174	0	1	0	1	1	1
EG10331	1	1	0	1	1	0
G6142	0	0	0	0	1	1
G7649	0	0	0	1	1	0
G7079	0	0	0	0	0	0
EG10482	1	1	0	0	1	0
EG12400	0	0	1	0	1	0
EG12045	0	1	0	1	1	1
EG10285	1	1	0	1	1	0
EG11940	0	0	0	0	1	1
EG10479	1	1	0	1	1	0
EG11703	0	1	1	0	1	0
EG50010	1	1	0	1	1	0
EG10132	0	1	1	0	1	0
EG10476	1	1	0	1	1	0
G7399	0	1	1	0	1	0
EG11091	0	0	0	0	1	0
G6934	0	1	1	0	1	0
G7354	0	1	0	0	1	1
G6836	0	1	0	0	0	0
EG10332	1	1	0	1	1	0
G6559	0	0	0	0	1	0
EG11643	0	1	0	1	1	0
EG10484	0	1	0	1	1	0
EG20110	0	0	1	0	1	0
G6971	0	0	0	0	1	1
EG10301	0	1	0	0	1	0
EG12631	0	1	1	0	1	0
EG12396	0	0	0	1	1	1
EG10480	1	1	0	1	1	0
EG12369	0	0	0	0	1	1
G6972	0	1	0	0	1	1
EG10008	1	1	0	1	1	0
EG12141	0	1	0	0	1	1
G6776	0	1	0	0	1	1
EG11109	0	1	0	0	1	0
EG11896	0	0	1	0	1	0
G6532	0	1	0	1	1	0
EG10980	1	1	0	1	1	0
EG11689	0	1	1	0	1	0
EG12403	0	1	0	1	1	0
EG10933	1	1	0	1	1	0
EG11459	0	0	0	0	1	1
EG12002	0	0	0	0	1	1
EG11104	0	1	1	0	1	0
G7049	0	1	0	0	1	1
EG10402	1	1	0	1	1	0
EG10629	0	0	1	0	1	0
EG12880	0	1	0	1	1	0
EG10356	1	1	0	1	1	0
G7254	0	1	1	0	1	0
EG10150	1	1	0	0	1	0
EG10981	1	1	0	1	1	0
G6893	0	0	0	0	1	1
G7427	0	1	0	0	1	0
EG10934	1	1	0	1	1	0
G6440	0	0	1	0	1	0
EG11250	0	1	0	0	1	0
EG10931	1	1	0	1	1	0
EG13283	0	1	1	0	1	1
G0-9121	0	1	0	0	1	0
EG10489	1	1	0	1	1	0
EG12576	0	1	1	0	1	0
EG12844	0	1	0	0	1	0
G7376	0	0	0	0	0	0
EG10357	1	1	0	1	1	0
EG12282	0	1	1	0	1	0
G7428	0	1	0	0	1	0
EG10982	1	1	0	1	1	0
EG12129	0	1	1	0	1	0
EG11244	0	0	0	0	1	1
EG10979	1	1	0	1	1	0
EG11392	0	0	1	0	1	0
G6334	0	1	0	0	1	0
EG10932	1	1	0	1	1	0
G7833	0	1	1	0	1	0
EG12845	0	1	0	0	1	0
EG10358	1	1	0	1	1	0
G7159	0	0	0	0	1	1
EG11933	0	1	0	0	1	1
G7918	0	0	0	0	0	0
G6397	1	1	0	1	1	0
G6858	0	1	1	0	1	0
G7429	0	1	0	0	1	0
G7129	1	1	0	1	1	0
EG12908	0	1	1	0	1	1
EG11398	0	1	0	0	1	0
EG10804	1	1	0	1	1	0
EG12544	0	1	0	0	1	1
G7426	0	1	0	0	1	0
EG11015	1	1	0	1	1	0
EG12266	0	0	0	0	1	1
EG10571	0	1	0	0	1	0
EG10338	0	1	0	0	1	0
EG12029	0	0	0	0	1	1
EG12634	0	1	0	0	1	0
EG11088	0	1	0	0	1	0
EG11840	0	0	0	0	1	1
G7430	0	1	0	0	1	0
EG10803	1	1	0	1	1	0
EG11616	0	0	1	0	1	0
G0-9962	0	1	0	0	1	0
G6837	0	1	0	0	0	0
EG12198	1	1	0	1	1	0
G7507	0	0	1	0	1	0
G6933	0	1	0	0	1	1
EG12258	0	1	0	1	1	0
G7114	0	1	1	0	1	0
EG11748	0	0	0	0	1	1
EG11862	0	0	0	0	1	1
G6817	0	0	0	0	1	0
G7197	0	0	0	0	1	1
G7457	0	1	0	1	1	0
G6280	0	1	0	0	1	1
EG12310	0	0	0	0	1	0
G7150	0	0	0	0	1	0
EG12802	0	0	0	0	1	1
G6533	0	0	0	0	1	0
EG10760	0	0	0	0	1	0
EG12475	0	1	0	0	1	1
G6146	0	0	0	0	1	0
EG10020	1	1	0	0	1	0
EG11954	0	0	1	0	1	0
G7265	1	0	0	1	1	0
EG11732	0	0	0	0	1	1
G7894	0	0	0	0	1	0
EG11676	0	0	0	0	1	0
G7465	0	1	0	0	1	1
EG10696	0	1	0	0	1	0
G7092	0	0	0	0	1	0
G7004	0	1	0	0	1	1
G6138	0	0	0	0	1	0
EG11506	0	0	0	0	1	0
G6744	0	1	0	0	1	1
EG10673	0	1	0	0	1	0
EG12445	0	0	1	0	1	0
G7769	0	0	0	0	1	0
G6621	1	0	0	1	1	0
EG11942	0	1	1	0	1	0
G7074	0	0	0	0	1	0
EG11359	0	1	0	0	1	0
EG11706	0	0	0	0	1	1
G6112	0	0	0	0	1	0
EG10436	0	1	0	0	1	0
EG11512	0	0	1	0	1	0
G6452	1	0	0	1	1	0
EG11242	0	1	0	0	1	1
EG10968	1	0	0	1	1	0
G7672	0	0	0	0	1	0
G7421	0	0	0	0	1	1
EG10212	0	1	0	0	1	0
G6725	0	0	0	1	1	0
G6962	0	0	0	0	1	1
G6296	0	0	0	0	1	0
G7533	0	0	0	1	1	0
G6561	0	0	1	0	1	0
G6083	0	0	0	0	1	0
EG12436	1	0	0	1	1	0
EG12713	0	0	1	0	1	0
EG10786	0	1	0	0	1	0
EG12380	0	1	1	0	1	0
EG10156	0	0	0	0	1	0
G7548	0	0	0	0	1	0
EG11919	0	1	1	0	1	1
G6213	0	0	0	0	1	0
EG11881	0	0	0	0	1	0
EG11691	0	0	1	0	1	0
EG10697	0	0	0	0	1	0
EG11159	0	1	1	0	1	0
G7247	0	0	0	0	1	0
G7309	0	1	1	0	1	1
EG11549	0	1	0	0	1	0
G7905	0	0	0	1	1	0
G6916	0	1	0	0	1	1
EG10694	0	1	0	0	1	0
G7902	0	0	0	0	0	0
G7255	0	0	0	0	1	0
G6466	0	1	0	0	1	1
G6534	0	0	0	0	1	0
G6622	0	0	0	1	1	0
EG12587	0	0	1	0	1	0
EG11373	0	1	0	1	1	0
G6168	0	0	0	0	1	0
EG12283	0	1	1	0	1	0
EG10463	0	1	0	0	1	0
EG12134	0	1	1	0	1	0
G6463	0	1	0	0	1	0
EG11750	0	0	0	0	1	0
EG11873	0	0	1	0	1	0
EG11004	0	0	0	0	1	0
G7895	0	0	0	0	1	0
EG11686	0	1	0	0	1	1
EG10246	0	1	0	1	1	0
G7125	0	0	0	0	1	0
EG11419	0	0	1	0	1	0
G7682	0	0	0	0	1	0
G6139	0	0	0	0	1	0
G7942	0	1	1	0	1	0
G2000	0	0	1	0	1	0
G7198	0	0	0	0	1	1
EG10950	0	1	0	1	1	0
EG12364	0	0	0	0	0	0
G7776	0	0	0	0	0	0
G6861	0	1	0	0	1	1
G7076	0	0	0	0	1	0
EG10158	0	1	0	0	1	0
G6393	0	1	1	0	1	0
G7410	0	0	0	1	1	0
G6327	0	0	0	0	1	0
EG12548	0	0	0	0	1	1
EG11920	0	0	0	0	1	0
EG12268	0	1	0	0	1	1
EG10698	0	0	0	0	1	0
G7761	0	0	0	0	1	0
EG12032	0	0	1	0	1	1
G7248	0	0	0	0	1	0
G7029	0	0	0	0	1	0
EG11841	0	1	1	0	1	0
G6297	0	0	0	0	1	0
EG11652	0	0	0	0	1	0
EG11639	0	1	1	0	1	0
EG10695	1	1	0	1	1	0
G6085	0	0	0	0	1	0
EG11343	0	1	1	0	1	0
G6662	1	1	0	1	1	0
EG11020	0	0	1	0	1	0
EG11441	0	0	0	0	1	0
G7583	0	1	0	0	1	0
EG10521	0	0	1	0	1	0
G6723	0	0	0	0	1	0
EG10542	0	1	0	0	1	0
G7115	0	1	1	0	1	0
G6470	0	0	0	0	1	1
G6223	0	0	0	0	1	0
G6854	0	0	0	0	1	1
EG11112	1	0	0	1	1	0
EG12853	0	0	1	0	1	0
EG10435	0	1	0	0	1	0
EG12504	0	1	1	0	1	0
G7925	0	0	0	0	1	0
G7908	0	0	0	0	1	0
EG12232	0	1	1	0	1	0
G7480	0	0	0	0	1	0
G2001	0	0	1	0	1	0
EG11753	0	1	1	0	1	0
EG10956	0	1	0	0	1	1
G6667	0	0	0	0	1	0
EG11566	0	1	0	0	1	1
EG10159	0	0	0	0	1	0
G6169	0	0	0	0	1	0
EG10802	0	1	1	0	1	0
EG10825	0	1	0	0	1	0
G7501	0	0	1	0	1	0
G0-10430	0	0	0	0	1	0
G6241	0	0	0	0	1	1
EG10574	0	1	0	1	1	0
G7900	0	0	0	0	1	0
EG12754	0	1	0	0	1	1
EG11098	0	0	0	0	1	0
G7126	0	0	0	0	1	0
EG12462	0	1	1	0	1	0
EG11063	0	1	0	1	1	0
G6509	0	0	0	0	1	0
EG11952	0	0	1	0	1	0
EG10926	0	0	0	1	1	0
G6145	0	0	0	0	1	0
EG11720	0	1	1	0	1	0
EG10826	0	1	0	0	1	0
EG11541	0	0	1	0	1	0
EG10575	0	0	0	1	1	0
G7777	0	1	0	0	1	0
EG10250	0	1	1	0	1	0
EG11336	0	0	0	0	1	0
G7077	0	0	0	0	1	0
G7437	0	1	0	0	1	1
EG11072	0	1	0	0	1	0
G6360	0	1	0	0	1	0
G6977	0	1	1	0	1	0
EG10927	0	1	0	0	1	0
G6620	0	0	0	0	1	1
G7762	0	0	0	0	1	0
EG10827	0	0	0	0	1	0
EG12720	0	1	0	0	1	1
G7016	0	0	0	0	1	0
G7030	0	0	0	0	1	0
EG12393	0	1	1	0	1	0
EG10824	0	1	0	0	1	0
G6086	0	0	0	0	1	0
EG11939	0	0	1	0	1	0
EG10459	0	0	0	0	1	0
EG11693	0	1	1	0	1	0
EG11094	0	1	0	0	1	0
G7584	0	0	0	0	1	0
EG11469	0	1	1	0	1	0
EG11062	0	1	0	1	1	0
G6724	0	0	0	0	1	0
EG11194	0	0	1	0	1	0
EG10830	0	0	0	0	1	0
G6224	0	0	0	0	1	0
EG10652	0	1	1	0	1	0
EG10859	1	0	0	1	1	0
G7330	0	0	1	0	1	1
EG10856	0	0	0	0	1	0
G6917	0	0	0	0	1	1
G7175	1	0	0	1	1	0
G7481	0	0	0	0	1	0
G6517	0	1	1	0	1	0
EG11620	1	0	0	1	1	0
G6212	0	0	0	0	1	0
EG20053	0	1	1	0	1	1
EG10863	1	0	0	1	1	0
EG12623	0	1	0	0	1	1
EG10860	0	0	0	0	1	0
EG12367	0	1	1	0	1	0
EG10857	0	0	0	0	1	0
EG11727	0	1	0	0	1	1
EG12136	0	1	0	0	1	1
EG11714	0	1	0	0	1	1
G7365	0	1	0	0	1	0
EG11883	0	1	1	0	1	0
EG10743	1	1	0	1	1	0
G7226	0	0	0	0	0	1
EG11687	0	0	0	0	1	1
EG30069	1	1	0	1	0	0
G6821	0	1	0	0	0	1
EG11439	0	1	1	0	1	0
EG11259	0	1	0	0	1	0
G6682	0	1	0	0	1	1
G7235	0	1	0	0	1	1
EG10861	0	0	0	0	1	0
G6588	0	0	0	0	0	1
G6877	0	1	1	0	1	0
EG10858	1	0	0	1	1	0
G6307	0	0	0	0	1	1
G6400	0	1	0	0	1	1
EG10844	0	0	0	1	1	0
G6120	0	0	0	0	1	1
EG13174	0	0	0	0	1	1
G6634	0	0	0	1	1	0
EG12155	0	0	0	0	1	0
EG12563	0	1	1	0	1	0
EG11547	1	0	0	1	1	0
EG11300	0	0	0	0	0	1
EG12281	0	1	1	0	1	0
EG10862	1	0	0	1	1	0
EG10227	0	1	0	0	1	1
EG11842	0	0	0	0	1	1
G6782	0	1	0	0	1	0
G7378	0	0	0	0	0	1
EG11640	0	1	0	0	1	1
G7359	0	0	0	0	0	1
G7282	0	1	0	0	1	1
EG11354	0	1	1	0	1	0
EG12423	1	1	0	1	1	0
G7221	0	0	0	1	0	0
EG11021	0	0	1	0	1	0
G7270	0	0	0	0	1	1
G6834	0	1	0	0	0	0
G7679	0	1	0	0	1	1
G6818	0	1	0	0	1	1
EG11632	0	1	1	0	1	0
G7130	0	0	0	0	1	1
G6645	1	1	0	1	1	0
G6679	0	0	0	0	0	1
G6857	0	1	1	0	1	0
G6585	0	0	0	0	1	1
EG11629	0	1	1	0	1	0
EG12539	0	1	1	0	1	0
G7961	1	1	0	1	1	0
G6304	0	0	0	0	0	1
EG12249	0	1	0	0	1	1
G0-10452	0	0	0	0	0	1
G6218	0	1	1	0	1	0
EG11821	0	1	1	0	1	0
EG11120	0	0	0	0	0	1
EG10752	0	0	1	0	1	0
EG11612	0	1	1	0	1	0
G7289	0	1	0	0	1	1
G7373	0	0	0	0	1	0
EG10528	0	1	1	0	1	0
EG50007	1	0	0	1	1	0
G7278	0	0	0	0	0	1
G6700	0	1	1	0	1	0
G7275	0	0	0	0	0	1
EG10749	0	0	1	0	1	0
EG10293	0	1	1	0	1	0
G7283	0	0	0	0	1	1
G7218	0	0	0	0	1	1
G6414	0	1	1	0	1	0
EG12608	0	1	0	0	1	1
G6831	0	0	0	0	0	1
EG10126	0	1	1	0	1	0
G7271	0	0	0	0	1	1
G6696	0	1	0	0	0	1
EG11124	0	1	0	0	1	1
EG11822	1	1	0	1	1	0
G6489	0	0	0	0	1	0
EG11008	0	1	0	0	1	0
G6646	1	1	0	1	1	0
G6131	0	0	0	1	1	0
G0-10435	0	0	0	0	0	1
EG11630	0	1	1	0	1	0
G6762	0	1	0	0	1	1
EG11899	0	0	0	0	1	0
G6219	0	1	1	0	1	0
EG10302	0	1	1	0	1	0
G7917	0	0	0	0	0	1
EG10753	0	1	1	0	1	0
G6531	0	1	1	0	1	0
G7290	0	1	0	0	1	1
G7369	0	0	0	0	1	1
EG11364	0	1	0	0	1	0
G7272	0	1	0	0	1	1
G6088	0	1	0	0	1	0
EG11009	0	1	1	0	1	0
G7085	0	0	0	0	1	0
EG10750	0	0	1	0	1	0
EG10671	0	1	1	0	1	0
G7284	0	0	0	0	1	1
G6828	0	1	0	0	0	1
G7814	0	0	0	0	1	1
EG10036	1	1	0	1	1	0
G6595	0	0	0	0	0	0
G6657	0	1	1	0	1	0
G7281	0	1	0	0	1	0
G6314	0	0	0	0	0	1
EG10286	0	1	1	0	1	0
G6151	0	0	0	0	0	1
EG12190	0	0	0	0	1	1
G6370	0	1	1	0	1	0
G6128	0	0	0	0	1	1
EG11631	0	1	1	0	1	0
EG10729	0	1	1	0	1	0
G6644	1	1	0	1	1	0
EG12370	0	0	0	0	1	1
EG12331	0	0	1	0	1	0
EG11558	1	1	0	1	1	0
G7366	0	1	0	0	1	0
EG11160	0	1	1	0	1	0
